Institute_name,Region_type,Institute_address,District,Pincode,Web_address,Email_address,Principal_name,Office_contact,personal_contact,Registrar_name,Autonomy_status
"Smt. Premalatai Chavan Polytechnic, Karad",Rural,"271, Mangalwar Peth,Tal:Karad Satara , 415110",Satara,415110,www.spcpk.org,principal_pcpk@rediffmail.com,SHRI BACCHU TATOBA KINIKAR,221612 Ext.- ,227439 Ext.- ,SHRI SHIRISH BACCHU KINIKAR,Non-Autonomous
"Shri Vatavruksha Swami Maharaj Devasthan's, Kai.Kalyanrao (Balasaheb) Ingale Polytechnic College, Akkalkot",Rural,"Gat No.604/2,Near Bhakta Nivas,Gangapur Road, Akkalkot Solapur , 413216",Solapur,413216,swamipolytechnic.org.in,swamipolytechnic@gmail.com,PROF. JEURE N.B.,221321 Ext.- ,221390 Ext.- ,NASHTE R R,Non-Autonomous
"Satara Education Society's Late Suman Dhekane Department Of Pharmacy, Satara",Urban,"Mangalwar Peth, Satara , 415001",Satara,415002,www.spspharmacy.org,spspharmacy@gmail.com,P.V. Kulkarni,284040 Ext.- ,284040 Ext.- ,Mrs. Vedpathak Saroj Pradip,Non-Autonomous
"Shri. Venkateshwara Shikshan Sanstha's Nanasaheb Mahadik Polytechnic Institute, Peth",Rural,"Gat No. 905 A/1, Pune - Benglore NH-4 Highway A/P - Peth, Tal - Walwa, Dist - Sangli",Sangli,415407,www.nmpi.org.in,office.nmpi@gmail.com,Mr. Mahesh B. Joshi,252477 Ext.- , Ext.- ,Mr. Manoj M. Patil,Non-Autonomous
"Shriram Education Soceity's Shivaji Polytechnic, Atpadi, Sangli",Rural,"Near Suresh Indians Gas Agency,1370 Gat No.4169 To 4175 Tal.Atpadi  Sangli , 415301",Sangli,415301,www.spatp.org,shivajipoli@rediffmail.com,SURYAWANSHI RAJENDRA S,202177 Ext.- , Ext.- ,PUJARI ANIL SHRIRANG,Non-Autonomous
"Swami Vivekananda Shikshan Sanstha, Dr. Bapuji Salunkhe Institute Of Engineering & Technology,Kolhapur",Urban,"2130, E Ward, Kolhapur  416003",Kolhapur,416003,www.bsiet.org,bsieat@gmail.com,Ramchandra PATIL,2658610 Ext.- ,2658613 Ext.- ,Mr. Amit Aba Awad,Non-Autonomous
"Swami Vivekananda Pratisthan, Swami Vivekananda Institute Of Technology,Khed, Solapur",Rural,"Gat No.16/1,Solapur -Barshi Road,Khed,North  Solapur 413225",Solapur,413255,www.svitsolapur.org,svp_sol@rediffmail.com,MR. HINDURAO DINKAR GORE ,2911026 Ext.- ,2911025 Ext.- ,MR. SAMADHAN DAGADU WADANE,Non-Autonomous
"Gaurishankar Education & Charitable Trust, Gaurihar Polytechnic,Limb,  Satara",Rural,"S.No.990/A,Satara-Pune Highway, Near Reliance Pump, Limb Satara , 415015",Satara,415015,www.gourihar.org,gourihar.satara@rediffmail.com,Mr.Pisal Nitin Manohar,268758 Ext.- ,253155 Ext.- ,Mr.Shingate Vickram Jagannath,Non-Autonomous
"Vidyavardhini Educational Academy's Vidyavardhini Institute Of Technology,Bhudargad",Rural,"Gat No.437/1,At Post: Pal, Tal.Bhudargad Kolhapur , 416209",Kolhapur,416209,www.vvitpal.in,vidyavardhini6472@gmail.com,Prof.DUNDAPPA BASAVARAJ KESTI,80075457 Ext.- 02324, Ext.- 02324,Mr.SHINDE SANTOSH CHANDRAKANT,Non-Autonomous
"Rajarshi Shahu Shikshan Sanstha's Vitthal Patil Polytechnic, Miraj",Rural,"Gat No. 640/641/642/643 A/P Inam Dhamni Tal Miraj Sangli , 416416",Sangli,416416,www.vitthalpatilpoly.edu.in,vitthalpatilpoly@gmail.com,Prof.Jadhav M.s.,2302515 Ext.- ,2302515 Ext.- , Mr. tamboli azharuddin tamboli,Non-Autonomous
"Balasaheb Desai Foundation, Shivajirao Desai College Of Polytechnic, Doulatnagar",Rural,"Doulatnagar, Tal. Patna Dist. Satara  415211",Satara,415211,www.shivajiraodesaipoly.org,sdpolytechnic@rediffmail.com,R.K.Khobragade,268400 Ext.- 68400,268400 Ext.- ,P.K.Lohar,Non-Autonomous
"Mokashi Krishi Vikas Prasisthan's Dadasaheb Mokashi Polytechnic, Sadashivgad, Satara",Rural,"Survey No.75. A/P Rajmachi Sadashivgad, Tal. Karad, Dist Satara  415110",Satara,415110,www.mokashipratishthan.org,dmpr1224.rajmachi@gmail.com,MR. Jagtap S.E. ,271400 Ext.- , Ext.- ,Not Applicable,Non-Autonomous
"Shahajirao Patil Vikas Pratishthan, S. B. Patil Polytechnic, Indapur",Rural,"Gat No.58,Village Vangali,Tal.Indapur,Dist:Pune 413106",Pune,413106,www.spvp.edu.in,1211office@msbte.com,Mr. Umesh Narsing Bodhale,289999 Ext.- , Ext.- ,Mr. Umesh Narsing Bodhale,Non-Autonomous
"Shree Santkrupa Shikshan Sanstha, Shree Santkrupa Institute Of Engineering & Technology, Karad",Rural,"Gat No.716,Ghogaon,(Shivajinagar),Tal.Karad Satara , 415111",Satara,415111,www.sietghogaon.org,ssietdegree@gmail.com,Prof. S. B. Kulkarni ,257309 Ext.- ,223096 Ext.- ,Shri Patil Santosh Vishrant,Non-Autonomous
"Shri. Siddheshwar Deosthan Trust's Siddheshwar Women's Polytechnic, Solapur",Urban,"Bhavani Peth, T.P. No.Ii,Plot No.74,Rupa Bhawani Mandir Road,Solapur  413002",Solapur,413002,www.siddheshwarwomenspoly.org,siddhawomenpoly@gmail.com,MR GAJANAN REVANSIDHA DHARANE,2727878 Ext.- ,2327878 Ext.- ,Rahul S. Shivangi,Non-Autonomous
"Dattakala Shikshan Sanstha's, Dattakala Polytechnic, Daund Dist. Pune",Rural,"Gat No.541/2, Off Pune-Solapur Highway, At Post Swami Chincholi, Tal.Daund, Pune. 413130",Pune,413130,www.dattakala.com/Diploma/index.html,dattakalapoly@gmail.com,Prof. Shendge Ravindra Bhimrao,203183 Ext.- ,203184 Ext.- ,Kapure Prashant Ramkrishna,Non-Autonomous
"D. Y. Patil Educational Socity's D.Y. Patil College Of Engineering & Polytechnic, Kolhapur",Rural,"S.No. 85/ A/P Talsande, Tal Hatkangale Kolhapur , 415112",Kolhapur,416112,www.dypcepolytal.com,jakhot@rediffmail.com,Shri J. A. Khot ,2604095 Ext.- , Ext.- ,SURENDRA JAGANNATH PATIL ,Non-Autonomous
"Ramkrishna Technical Education Soceity, Shivaji Polytechnic College, Sangola",Rural,"S.No.76/1,77 Sangola, Jat Road, Sangola Solapur , 413307",Solapur,413307,www.spcsangola.com,spc_sangola@yahoo.com,MR.R.A.Deshmukh,202852 Ext.- , Ext.- ,MAHADEV A GAIKWAD,Non-Autonomous
"Shri Umajirao Sanamadikar Medical Foundation's Siddharath Polytechnic, Jath",Rural,"S.NO. 672/1, Segaon road,Jaith Dist Sangli  416404",Sangli,416404,www.siddharthpoly.co.in,siddharthjath@gmail.com,Mr. Dasharath S.Waghamare,202939 Ext.- , Ext.- ,BABAR SANJAY,Non-Autonomous
"Dr J J Magdum Trust's Anil Alias Pintu Magdum Memorial Pharmacy College, Dharangutti,Tal-Shirol, Dist, Kolhapur",Rural,"A/p-Dharangutti. Jaisinghpur,Tal-Shirol, Dist.Kolhapur-416101 ",Kolhapur,416101,www.aapmpharmacy.com,aapmpharmacy@gmail.com, Mr. Nitave S. A.,2322221929 Ext.- , Ext.- ,-,Non-Autonomous
"Samarth Rural Education Institute, Samarth Polytechnic, Bangarwadi, Belhe",Rural,"Bangarwadi, Belhe, Taluka Junnar, Dist. Pune 412410",Pune,412410,www.sreir.org,samarthpolytechnic@gmail.com,Mr. Kapile Anil. S.,276751 Ext.- ,276754 Ext.- ,MR. Pokharkar Mahesh S,Non-Autonomous
"Sandipani Charitable Trust, M.D. Jadhav Institute Of Technology.,Bhose",Rural,"Gat No.986,987, A/P.Bhose, Tal.Miraj Sangli , 416422",Sangli,416422,www.mdjit.edu.in,office@mdjit.edu.in,Prof. R G Patil,2257544 Ext.- 0233, Ext.- ,Mr Chetan Patil,Non-Autonomous
"Marathwada Mitra Mandal's Polytechnic, Pune",Urban,"Sr.No.4/17, Thergaon Pune  411033",Pune,411033,www.mmpolytechnic.com,office@mmpolytechnic.com,Mrs. G.S Joshi,65106968 Ext.- ,9604528182 Ext.- ,Prakash Patil,Non-Autonomous
"S.C.E.S. Indira School Of Business Studies, Tathwade",Urban,"Shree Chanakya Edu. Society's Indira School Of Business Studies, Tathwade",Pune,411033,www.indiraisbs.ac.in,laxman.misal@indiraisbs.ac.in,Dr.Renu Bhargava,66759463 Ext.- ,66759404 Ext.- ,Laxman Misal,Non-Autonomous
"Kai. Amdar Bramhadevdada Mane Shikshan Va Samajik Pratishthan,Bramhadevdada Mane Polytechnic, Belati, Noth Solapur",Rural,"Gat No.137/1/A,B,C,D, A/p-Belati, Noth Solapur Dist. Solapur  413002",Solapur,413002,www.bmpsolapur.org,bmpolytechnic@gmail.com,Prof. SHAMBHURAJ PANDURANG DESHMUKH,2283885 Ext.- ,2283885 Ext.- ,SHRI.SHIVLAL SOMVANSHI ,Non-Autonomous
"Vidya Pratishthan's Polytechnic College, Vidyanagari, Indapur ",Rural," Vidyanagari, Indapur, Dist. Pune  413106",Pune,413106,www.vppolytechnic.org,vppci@vidyapratishthan.com, Shri.Veer Rajkumar Arvind,225600 Ext.- ,225600 Ext.- ,NA,Non-Autonomous
"Shriram Institute Of Engineering & Technology, (Poly), Paniv",Rural,"Paniv, Taluka Malshiras, Dist. Solapur 413113",Solapur,413113,www.sietpaniv.org,sietpoly@gmail.com,Mr. Khandare Pramod Prakash,274055 Ext.- 02185,274211 Ext.- 02185,Mr Chougule Nayankumar Babanrao,Non-Autonomous
"Loknete Ma.Hanumantrao Patil Charitable Trust, Adarsh Institute of Technology (Poly), Khambale",Rural,"Gat No.421,At Post Khambale, Vita, Taluka Khanpur, Dist. Sangli  415311",Sangli,415311,www.aitpolytechnic.org,aitp0991@rediffmail.com,Prof.D.K.Mahadik,229191 Ext.- ,9970832675 Ext.- ,Mr.Shinde S.V,Non-Autonomous
"Shanti Education Society, A.G. Patil Polytechnic Institute, Solapur",Urban,"18(2/2A) 2, Pratap Nagar, Vijapur Road, Opp. S.R.P. Camp, Solapur  413004",Solapur,413008,www.agppi.edu.in,agppi.contact@gmail.com,Dr. Chougule M.A.,2341899 Ext.- ,2341899 Ext.- ,MR. VIJAPURE S S,Non-Autonomous
"Dr.D.Y.Patil Educational Academy's  D. Y. Patil Polytechnic, Ambi., Talegaon",Urban,"S. No. 124 & 126 Ap. Ambi, MIDC Road,Talegaon Dabhade Pune , 410506",Pune,410506,www.dypp.com,0996principal@msbte.com,Milind Kulkarni,0211430623 Ext.- , Ext.- ,SHRI. Bhavanrao GAIKWAD,Non-Autonomous
"Y.D.Mane Institute of Technology, Kagal, Kolhapur",Urban,"426/5 Near Alka Sheti Farm, Sangaon Road, Kagal Kolhapur , 416216",Kolhapur,416216,www.ydmit.org,ydmitpoly@gmail.com,Mr.Digvijay Jotiram Pawar,245688 Ext.- 205, Ext.- ,Mrs.Deepali Anil Ghatage ,Non-Autonomous
"Shree Vitthal Edu. and Research Institute, College of Engineering (Polytechnic), Gopalpur, Pandharpur",Rural,"P.Box No.54, Gopalpur, Ranjani Road,  Solapur , 413304",Solapur,413304,www.cod.sveri.ac.in,1074office@msbte.com,Dr. NITIN DNYANESHWAR MISAL,216128 Ext.- , Ext.- ,Mr. Amolsinh Shrirang Mhetre,Non-Autonomous
"Sant Gajanan Maharaj Rural Polytechnic, Gadhingaj, Kolhapur",Rural,"Mahagaon Sait, Chinchewadi, Gadhinglaj, Kolhapur  416503",Kolhapur,416503,www.sgmrh.com,polysgm@gmail.com,Dr. Sanjay H. Dabhole,7447440075 Ext.- ,7447440074 Ext.- ,Mr. A. M. Sawant,Non-Autonomous
"Zeal Education Society, Zeal Polytechnic, Narhe Tal. Haveli, Pune",Urban,"Survey No. 39, Narhe, Taluka Haveli, Dist. Pune  411041",Pune,411041,www.zealeducation.com,dp.zealeducation@gmail.com,Dr. CHANDRAKANT NARAYANRAO KULKARNI,67206021 Ext.- 202,67206021 Ext.- 020,Kishor Shamrao Shewale-Patil,Non-Autonomous
"Dinkarrao K. Shinde Smarak Trust, Dr. A.D. Shinde Institute Of Technology, Gadhinglaj",Rural,"At Post-Bhadgaon, Taluka Gadhinglaj, Dist. Kolhapur  416502",Kolhapur,416502,www.adshindeit.org,principal_dads@rediffmail.com,MR. S. S. PATTANSHETTI,250656 Ext.- ,250457 Ext.- ,Mr. S. M. Mhaldar,Non-Autonomous
"Vidyavardhini Charitable Trust's Abhaysinhraje Bhonsle Institute of Technology, Shahunagar- Shendra, Satara",Rural,"Gat No. 282, 290 & 291 Shendre Satara  415001",Satara,415519,www.abitsatara.com,abitsatara@rediffmail.com,Prof. Dhumal Satish U,279661 Ext.- ,279661 Ext.- ,MR. BHOSALE SOPAN SHIVAJI,Non-Autonomous
"Shivneri Foundation, Shivneri Polytechnic, Khanapur, Junnar, Pune",Rural,"Khanapur, Junnar, Dist. Pune , 410502",Pune,410502,www.shivneri.ac.in,principal.shivpoly@gmail.com,ANDHALE  R.S,9975531821 Ext.- ,98907698 Ext.- ,MR. KANASE S C,Non-Autonomous
"Shree Pandurang Pratishthan, Karmayogi Polytechnic College, Shelvhe, Tal.Pandharpur",Rural,"S. No.  124,125, Shelve, Taluka :Pandharpur, District: Solapur 413304",Solapur,413304,www.karmayogi.org.in,kpcmailbox@rediffmail.com,Ajit Bajirao Kanase,250200 Ext.- ,250210 Ext.- ,Ganesh Dhanaji Walake,Non-Autonomous
"Genba Sopanrao Moze Institute of Technology, Balewadi, Tal.Haveli",Urban,"Survey No. 25/1/3, Balewadi, Tal.Haveli, Dist. Pune  411045",Pune,411045,www.gsmozepolytechnic.org,gsmozeit@yahoo.in,Prof. Santosh T.Bhosale, Ext.- , Ext.- ,Rahul Patil,Non-Autonomous
"BMSPM's Ashokrao Mane Polytechnic, Vathar Tarf Vadgaon",Rural,"Gat No. 113 A, A/P Vathar Tarf Vadgaon, Hatkangale, Kolhapur 416112",Kolhapur,416112,www.amietv.org,ampolytechnicvathar@gmail.com,Mr. Gurav Yuvraj Ramchandra,2407740 Ext.- 111, Ext.- ,Uttam Dnyanu Jadhav,Non-Autonomous
"Jaywant shikshan prasarak Mandal,Jaywantrao Sawant Polytechnic, Hadapsar, Pune",Urban,"Survey No. 58, Hadapsar Handewadi Road, Hadapsar Pune , 411028",Pune,411028,www.jspmjspoly.edu.in,principal6425@gmail.com,Dr. S. M. Deokar,26970886 Ext.- 250,9881155876 Ext.- ,Prof. M. S.Kalbande,Non-Autonomous
"Kasegaon Education Soceity's Polytechnic, Lohagaon",Rural,"S.No.35/4, Lohagaon, Tal. Haveli Dist. Pune ",Pune,411047,www.ritppune.com,kesadmin@ritppune.com,Prin. SHRINIVAS KRISHNA JOSHI ,65106370 Ext.- ,65106372 Ext.- ,Nimbalkar Dhiraj Jagannnath ,Non-Autonomous
"Sharad Institute of Technology Polytechnic, Yadrav( Ichalkaranji)",Rural,"Jay-Sangli Naka, Yadrav-Ichalkaranji, Shirol, Kolhapur  416121",Kolhapur,416121,www.sitpolytechnic.org,contact@sitpolytechnic.org,Mr. Tashildar Bajrang Satappa,253050 Ext.- 02322,253053 Ext.- 02322,Mr.Wasim Ibrahim Shaikh,Non-Autonomous
"Vidya Vikas Pratishthan Polytechnic, Solapur",Urban,"72 / 2 B,Pratap Nagar, Soregaon-Dongaon Road Solapur , 413004",Solapur,413008,www.vvppolytechnic.org,vvpps@rediffmail.com,Prof. S. M.Shaikh, Ext.- , Ext.- ,Shri S.P.Gavhane,Non-Autonomous
"Shri Jain Vidya Prasarak Mandal's Rasiklal M. Dhariwal Institute of Technology, Chinchwadgaon, Pune",Urban,"Shri Fattechand Marg Pune , 411033",Pune,411033,www.rmdiot.com,rmdiot@gmail.com,Mr. Anil B. Thite,27353516 Ext.- ,98228894 Ext.- ,Deshpande A A,Non-Autonomous
"Bharati Vidyapeeth's Institute of Technology, Palus, Sangli",Rural,"Atpost:Palus,Tal:Palus, Dist:Sangli 416310",Sangli,416310,www.iotpalus.bharatividyapeeth.edu,mmsdeshmukh@rediffmail.com,Mr. Deshmukh M.S.,228585 Ext.- 225,228008 Ext.- ,Mr. Kulkarni H.R,Non-Autonomous
"Sai Charitable Trust, Indira Institute Of Diploma Engineering(Poly), Sasure, Tal. Barshi",Rural,"Flat No. 67, At Post Sasure ( Bairag )Solapur_Barshi Highway, Barshi, Solapur 413402",Solapur,413402,www.iidepoly.in,ssctiide@gmail.com,Shri. Zambare S.S.,240700 Ext.- ,240700 Ext.- ,Mr.Shinde D.B.,Non-Autonomous
"People Enpowerment Group,International School of Business & Media, Mulshi.",Rural,"S44/1, 44/1/2, Nande Village. Tal- Mulshi, Sub-pashan Road, Pune. Pune , 411042",Pune,411215,www.isbm.ac.in,isbm.pgdm@isbm.ac.in,Dr. Mahesh Gadekar,66754666 Ext.- 666, Ext.- ,Dr Ravi Jaiswal,Non-Autonomous
"Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Urban,"Vishnupuri,Talegaon Dabhade(St.), Tal.Maval District. Pune ",Pune,410507,www.ncerpune.com,ncerpune@gmail.com,Dr.Girish M.Desai,228175 Ext.- ,228175 Ext.- ,Mr.Samadhan Kumbhar,Non-Autonomous
"Jaihind Comprehensive Educational Institute's Jaihind Polytechnic, Kuran,Tal. Junnar",Rural,"A/P Kuran, Tal. Junnar, Pune , 410511",Pune,410511,www.jaihind.edu.in,iotkuran@rediffmail.com,Mr. Y. S. Gunjal,242027 Ext.- , Ext.- ,V. T. Sable,Non-Autonomous
"Poona District Education Association's, Institute of Technology,Hadpsar,Pune",Urban,"A.M. COllege Campus, Mahadeo Nagar, Manjari Road, Hadapsar,Pune-411028",Pune,411028,www.pdeaioth.in,iot@pdeapune.org,Prof.SAWALE NITIN REVAJI,26992415 Ext.- 201,26990602 Ext.- ,Rakhunde K N ,Non-Autonomous
"Shikshan Prasarak Mandal's Polytechnic,Solapur",Urban,"Hotgi Road, Kumathe, Solapur 413224",Solapur,413224,www.spmsolapur.org,spmpkprincipal@gmail.com,Mrs. Rohini S. Chavan,2602057 Ext.- ,2602057 Ext.- ,Mr. Bajrang U. Badawane,Non-Autonomous
"All India Shri Shivaji Memorial Society's Polytechnic, Pune,",Urban,"Polytechnic,Kennedy Rd,Near R.T.O. Office Pune , 411001",Pune,411001,www.aissmspoly.org.in,aissmspolypune@yahoo.in,Mr. S. K. GIRAM,26058077 Ext.- ,26058287 Ext.- ,Suresh Sarjerao Bhorde,Non-Autonomous
"Dr. D. Y. Patil Prathisthan's Dr. D.Y. Patil Polytechnic, Kolhapur",Urban,"Kasba Bavada Kolhapur , 416006",Kolhapur,416006,www.dyppolykolhapur.com,dyp.poly16@gmail.com,Dr. M.M. Narke,2601436 Ext.- ,2601436 Ext.- ,Mr. A. S. Deshinge,Non-Autonomous
"Bhivrabai Sawant Polytechnic, Wagholi, Pune",Rural,"Gat No. 720/2, Pune Nagar Road, Bakori Phata,Wagholi, Pune , 412207",Pune,412207,www.jspm.edu.in,bspoly@rediffmail.com,Dr. Sachin V. Admane,67335100 Ext.- 203,67335107 Ext.- ,Mr Vinod B. Mhaske,Non-Autonomous
"Sinhgad Tech Education Society's Sou. Venutai Chavan Polytechnic, Pune",Urban,"44/1, Vadgaon (BK), Off- Sinhgad Rd, Pune  411041",Pune,411041,www.sinhgad.edu,principal_svcp@sinhgad.edu,Dr.(Mrs) M.S. Jadhav,24354751 Ext.- 831,24100000 Ext.- 129,Mrs.S.R.Vyavahare,Non-Autonomous
"Shri Shivaji Shikshan Prasarak Mandal's Institute of Polytechnic, Barshi, Solapur  ",Rural,"725/I, Karmveer Nagar, Barshi, Solapur , 413411",Solapur,413411,www.ssspmspolybarshi.org,122poly@gmail.com,Mr. S.K.Chaudhari,222883 Ext.- , Ext.- ,Mr.Shinde R.S.,Non-Autonomous
"Dr. J. J. Magdum Trust, Dr. J.J.Magdum Polytechnic, Jaysingpur, Kolhapur ",Urban,"Shirol Wadi Road,Jaysingpur Kolhapur , 416101",Kolhapur,416101,www.jjmpoly.co.in,jjmpolyjsp@rediffmail.com,Mr.S.T.JADHAV,225472 Ext.- , Ext.- ,Mr.A.B.DEVARSHI,Non-Autonomous
"Dr. D. Y. Patil Pratishthan's, Yashwantrao Bhaurao Patil  Polytechnic, Pune",Urban,"Sector No.29, Nigdi Pradhikaran, Akurdi Pune , 411044",Pune,411044,ybppolytechnic.org,principalyb@gmail.com,Prof. A. S. Kondekar,27657868 Ext.- 020,27652322 Ext.- 020,Mr. M.D Koulavkar,Non-Autonomous
"Dr. D. Y. Patil Pratishthan's, Padmashree Dr. D.Y.Patil Polytechnic, Nigdi ",Urban,"Sector No. 29, Near Akurdi Railway Station,  Nigdi-Pradhikaran, Akurdi, Pune 411044",Pune,411044,www.pddyppolytechnic.ac.in,dypprincipal@gmail.com,Prof. M.S.Hiremath,27659147 Ext.- 020,27654121 Ext.- 020,Mr. M.D Koulavkar,Non-Autonomous
"Pimpri Chinchwad Education Trust's Pimpri Chinchwad Polytechnic,Pune",Rural,"Sector No. 26, Pradhikaran , Pune , 411044",Pune,411044,www.pcpolytechnic.com,principal@pcpolytechnic.com,Prof. V.S.Byakod,27658797 Ext.- ,27658797 Ext.- ,Bhase Bharati Bharat,Non-Autonomous
"Bharti Vidyaapeeth's Jawaharlal Nehru Institute of Technology, Pune",Urban,"Pune Satara Road,  Dhanakawadi, Katraj Pune , 411043",Pune,411043,www.bvjniot.bharatividyapeeth.edu,bvjniot@bharatividyapeeth.edu,Shri. R. R. Utturkar,24379467 Ext.- 21,24372434 Ext.- ,--,Non-Autonomous
"Satara Education Society's Satara Polytechnic, Satara",Rural,"Somgaon, Khindwadi, Near Nh 4, Mangalwar Peth, Satara 415002",Satara,415002,www.satarapolytechnic.org,office@satarapolytechnic.org,Principal Misal Vinayak Jagannath,279422 Ext.- ,279462 Ext.- ,Sau Kaldhone Pratibha Vijay ,Non-Autonomous
"Ekalavya Shikshan Sanstha's Polytechnic,pune",Urban,"S.No. 68/3/1,Kothrud, Paud Rd, Pune , 411038",Pune,411038,www.esspoly.org,esspoly@gmail.com,Prof. A. L. Pisal,25362055 Ext.- 32, Ext.- ,--,Non-Autonomous
"Latthe Education Society's Polytechnic, Sangli",Urban,"P-41, MIDC, Kupwad Sangli , 416436",Sangli,416436,www.latthepolytechnic.com,latthepolytechnic@gmail.com,Annasaheb Bharmu Gaji,2644422 Ext.- 51,2644422 Ext.- ,Sanjay Appaso Shedbale,Non-Autonomous
"Solapur Education Society's  Polytechnic, Solapur",Urban,"Samart Chowk, Budhwar Peth, Solapur , 413002",Solapur,413002,www.sespolytechnic.org.in,sespsolapur@gmail.com,Dr. SHRIKANT BHAGWANT JOSHI,2320387 Ext.- ,2320387 Ext.- ,Shri.AJAY ANIL YELEGAONKAR,Non-Autonomous
"Shree Prince Shivaji Maratha Boarding House's New Polytechnic, Kolhapur",Rural,"R. S. No. 264, Shantinagar, Uchagaon, Kolhapur , 416005",Kolhapur,416005,www.newpolytechnic.com,newpolytechnic@yahoo.co.in,Shri. V.B. Shinde,2615168 Ext.- 0231,2615487 Ext.- 0231,ß,Non-Autonomous
"Shivnagar Vidya Prasarak Mandal's Institute of Tech. & Engg., Malegaon(Bk.)",Rural,"A/P Malegaon BK. Pune , 413115",Pune,413115,www.svpm.edu.in,svpmite_038@yahoo.com,Prof. R. M. Wabale,254214 Ext.- 00000,255169 Ext.- 00000,R.B.Phalke,Non-Autonomous
"Shikshan Prasarak Mandal's College of Pharmacy,  Akluj",Rural,"Malewadi, Sangola Road, Akluj, Dist Solapur  413101",Solapur,413101,www.copakluj.org,copakluj@gmail.com,Dr.Bodhe P.V.,224243 Ext.- , Ext.- ,Sumit Subhash Devkar,Non-Autonomous
"Shikshan & Krishi Vikas Pratishtan's Sahyadri College of Pharmacy, Methavade, Ta.:Sangola, Dist.: Solapur",Rural,"A/P Methawade, Tal. Sangola,   Solapur , 413307",Solapur,413307,www.sahyadripharmacy.org,sahyadrisangola@gmail.com,Dr. Manojkumar Shesherao Patil,202030 Ext.- ,202030 Ext.- ,Mr. Prashant S. Lokhande ,Non-Autonomous
"Shree Santkrupa College of Pharmacy, Ghogaon,Satara",Urban,"At post. Ghogaon, Tal Karad Satara  415111",Satara,415111,www.sscop.org,principalsntk@rediffmail.com,Dr. Vijayanand R. Arlelimath,257374 Ext.- ,257374 Ext.- ,SANTOSH R.KOLEKAR,Non-Autonomous
"Shri. Vitthal Edu. & Research's College of Pharmacy, Gopalpur, Pandharpur",Rural,"Gopalpur-Ranjani Road Gopalpur, Pandharpur Solapur , 413304",Solapur,413304,www.sveri.ac.in,cop_pan@rediffmail.com,Dr. Amit P. Gangwal, Ext.- , Ext.- ,MR.R.G.ZARKAR,Non-Autonomous
"Karmaveer Bhaurao Patil Polytechnic,Satara",Rural,"Gat No. 242/B/1 Panmalewadi, A/P Varye, Satara 415001",Satara,415015,www.kbppoly.edu.in,kbppoly0041@gmail.com,K. S. Sheikh,9309919088 Ext.- 0,9822840286 Ext.- 0,Sayyad J.N.,Non-Autonomous
"Shikshan Prasarak Mandal's College of Pharmacy, Akluj",Rural,"Malewadi, Sangola Road, Akluj, Dist Solapur 413101",Solapur,413101,www.dpharmakluj.org,copakluj1993@gmail.com,Mr. Kothalikar R R,223402 Ext.- , Ext.- ,Mr. Vijayanand A. Ughade,Non-Autonomous
"Late Narayandas Bhawandas Chhabada Institute of Pharmacy, Satara",Rural,"Survey No 259 At Post Raigaon Tal Jaoli Satara , 415020",Satara,415020,www.sdncedu.com,info@sdncedu.com,Dr. Satish Bhise,200200 Ext.- ,200200 Ext.- ,Mr. V. V Parkhe,Non-Autonomous
"D.S.T.S.Mandal's College of Pharmacy, Solapur",Urban,"Jule Solapur-1 Vijapur Road, Solapur  413004",Solapur,413004,www.pharmacycol.com,pharmacycol@yahoo.com,Dr. R. Y. Patil,2343760 Ext.- ,2343760 Ext.- ,MHETRE AVINASH MALLINATH,Non-Autonomous
"Gourishankar Education Society's Satara College of Pharmacy, Satara",Rural,"P. No. 1539, New Additional M.I.D.C., Behind Spicer India Ltd.,Degaon, Satara  415004",Satara,415004,www.satarapharmacy.org,scop164@gemail.com,Dr. Aloorkar Nagesh Hanamantrao,275164 Ext.- ,275164 Ext.- 30,Kale Hemant Jaywantrao,Non-Autonomous
"Samarth Education Trust Arvind Gavali college of Pharmacy, Satara",Rural," S. No. 261 At Jaitapur, Satara Rahimatpur Road  Tal . Satara  415004",Satara,415004,www.sets.edu.in,agcopsatara@gmail.com,Dr. P. J. Shirote,248700 Ext.- ,203200 Ext.- ,Mr.Patil S.R.,Non-Autonomous
"Shri Appasaheb Birnale College of Pharmacy, Sangli",Urban,"Sangli Sangli-Miraj Road,South Shivajinagar, Sangli , 416416",Sangli,416416,www.abcpsangli.com,abcpsangli@yahoo.co.in,Dr. Sanaulla Abdulrahim Tamboli,2320062 Ext.- ,2324370 Ext.- ,Mahesh Subhash Hingmire,Non-Autonomous
"Gaurishankar Educational and Charitable Trust's Gourishankar Institute of Pharmaceutical & Education Research, Limb, Satara",Rural,"S.No. 990, At Post Limb, Taluka & District Satara.400101",Satara,415015,www.gourishankarpharmacy.org,giper_limb@rediffimail.com,Dr. Yadav A.V.,7387468760 Ext.- , Ext.- ,Shri. Patil N.N.,Non-Autonomous
"K.E. Socities. Rajarambapu College of Pharmacy,  Kasegaon, Sangli",Rural,"Kasegaon, Tal Walwa Sangli , 415404 ",Sangli,415404,www.kespharmacy.com,kespharmacy@gmail.com,Dr. C. S. Magdum,238200 Ext.- ,238200 Ext.- ,P. S. Chavan,Non-Autonomous
